agency_slug,agency_name,text,char_count,word_count
alternative_energy_development_board,Alternative Energy Development Board,"The Alternative Energy Development Board (AEDB) ( Urdu : متبادل توانائی ترقی بورڈ ) was an agency of the Federal Government established in May 2003 with the main objective to facilitate, promote and encourage development of renewable energy in Pakistan and with a mission to introduce alternative and renewable energy at an accelerated rate. The administrative control of AEDB was transferred to Ministry of Water and Power in 2006. The Government of Pakistan had inter alia mandated AEDB to:- The Government of Pakistan had tasked the AEDB to ensure 5% of total national power generation capacity to be generated through renewable energy technologies by 2030. In addition, under the remote village electrification program, AEDB has been directed to electrify 7,874 remote villages in Sindh and Balochistan provinces through ARE technologies. The Federal Government established AEDB as a statutory organization by announcing and promulgating the AEDB Act in May 2010. The Act bestowed upon AEDB the authorities and the responsibilities for the promotion and development of alternative and renewable energy. Although, the AEDB is administrated through the appointed chairman and chief executive officer; all policies and funding research is overseen by the Prime Minister. The organization's progress is being heard and examined in the Supreme Court of Pakistan . On 10 June 2023, AEDB was merged with Private Power and Infrastructure Board (PPIB).",1447,222
associated_press_of_pakistan,Associated Press Of Pakistan,"Associated Press of Pakistan ( APP ; Urdu: مشارکتِ مطبع ، پاکستان) is a government-operated national news agency of Pakistan. Established in 1949, it is headquartered in Islamabad . APP has News Exchange Agreements with 37 Foreign News Agencies and has ""around 400 editorial staff including around 100 Correspondents at the District and Tehsil levels"". The news agency called Associated Press of India (API) was formed in British India in 1905 and was acquired by Reuters in 1915. In the 1940s, Reuters altered its constitution enabling co-partnership of news agencies in British Dominions , and the Associated Press of India became an independent company in 1946, though with significant backing by Reuters. After the Partition of India in August 1947, API continued to function for more than a year. Some Indian journalists such as G. K. Reddy worked in Pakistani areas. In 1948, the Indian press formed the Press Trust of India to take over the operations of API, which occurred in September 1948. In January 1949, the Pakistani operations were reorganised as a Reuters subsidiary under the name ""Associated Press of Pakistan"". In September 1949, company was transferred to national control. The APP was organised as a trust, with the Chief Justice of Pakistan serving as the chairman of the board of trustees. The remaining members of the board were elected on two-year terms. The newly-formed country's press was economically weak, and was unable to financially support the agency. APP instead received financial support from the Government of Pakistan . APP then subscribed to the services of the world's news agencies and to opened offices in major cities of Pakistan. The financial situation of APP continued to deteriorate until it was on the verge of collapse. This was a direct result of the withholding of payment of funds from the Government of Pakistan due towards APP from the Ministry of Information and Broadcasting in an effort to create a financial crisis for the national news agency. In the early 1960s, APP owed about Rs. 8 lakhs (Rupees 800,000) to the government's Post and Telegraph Department and another Rs. 12 lakhs (Rupees 1200,000) in unpaid subscription fees to foreign news agencies. The Government of Pakistan intervened and took over the agency on 15 July 1961 following the instructions of certain vested interests within the Government of Pakistan. A government ordinance was issued for it. The given reason was to strengthen APP's financial foundation. The takeover initiated a number of changes: A K Qureshi, a senior government officer with some journalistic experience, was hired as Administrator of APP. The head office of the agency was shifted to Islamabad , the new capital of Pakistan. APP was directed by the government at this time and also by later governments to carry just the official version of political events. A K Qureshi was a member of the ill-fated National Press Trust delegation traveling to London by PIA Flight 705 that crashed at Cairo on 20 May 1965. He is buried in a mass grave at Cairo alongside his fellow passengers: victims of Pakistan's first jet aircraft disaster. Up until the early 1970s, APP had been supplying news from Reuters and United Press International . Later, it started providing news from also Agence France-Presse and the Associated Press . In 2015, Information Minister Pervaiz Rashid and a three-member committee had conducted interviews of 18 candidates for the position of Managing Director of Associated Press of Pakistan to be able to finally appoint a Managing Director. The APP head office operates in Islamabad . Additionally, APP maintains five bureaus at Karachi, Lahore, Peshawar Quetta and Rawalpindi and eight news centres at Sukkur, Multan, Quetta, Faisalabad, Larkana, Hyderabad, Muzaffarabad, Sialkot and now Gilgit-Baltistan. Despite APP being considered Pakistan's ""premier"" news agency, for decades the agency ran on old, obsolete and unreliable equipment. News copy was being carried on a 50- baud duplex circuit between Islamabad, Karachi and Lahore. M. Aftab, APPs General-Manager in 1991, undertook to improve the agency's technical resources. The resulting upgrade saw a transformation of data output speed from 50 words per minute (WMP) to 1200 WPM, most of which is now directly fed into the computers of the subscribers simultaneously throughout Pakistan and overseas. APP collects and disseminate domestic and international news to 84 (1992) newspapers of Pakistan besides radio, television and government offices and some foreign media. APP's subscription rates are higher than other agencies in Pakistan, due to its credibility and services. For this reason every newspaper in Pakistan tries to subscribe to its services. Notable newspaper subscribers to APP's services include: Dawn , Pakistan Times , Frontier Post , The Statesman , The Nation , The News International , Business Recorder , The Observer , The Post and Nawa-i-Waqt , Jang , Khabrain , Daily Express (Urdu newspaper",5000,799
benazir_income_support_programme,Benazir Income Support Programme,"The Benazir Income Support Programme (BISP) is a federal unconditional cash transfer poverty reduction program in Pakistan . Launched in July 2008, it was the largest single social safety net program in the country with nearly Rs. 90 billion ($900 million) distributed to 5.4 million beneficiaries in 2016. As of Budget 2025-26, the government has raised BISP’s allocation to Rs. 716 billion, about a 20% increase over the previous year. Also, the 8171 web portal has been relaunched/updated to provide users with eligibility checks, payment status and registration information online. The program distributed Rs.19,33 8 (or approx. $195) per annum distributed per month in the year 2016. The stipend is linked to the Consumer Price Index and is paid through a smart card . The Department for International Development of the United Kingdom is the largest foreign backer of the program, providing $244 million (or 27%) of the total funds in 2016 with the Pakistani Government providing the rest. A separate ministry, Ministry of Poverty Alleviation and Social Safety (PASS), was established and BISP was made part of the Poverty Alleviation and Social Security Division. The Benazir Income Support Programme was established in 2008 by Yousaf Raza Gillani who took the advice of President Asif Ali Zardari . The program's name is a tribute to former Prime Minister and wife of President Asif Ali Zardari , Benazir Bhutto , who was assassinated in 2007. Since 2005, the purchasing power of many Pakistani families has been eroded by high inflation and the increasing cost of food and oil. BISP arose against this backdrop as a means to address reductions in purchasing power. Along with the economic development aims of the program, BISP also seeks to empower women by presenting cash transfers directly to female members of households. BISP is currently the largest aid program in Pakistan and the government's third largest budgetary allocation. BISP spending accounts for 0.3% of Pakistan's GDP. In the 2008–2009 fiscal year, more than 3 million Pakistani families received cash transfers through BISP; this figure accounts for 1.5% of the general population and 10% of the population below the poverty level. For the 2009–2010 fiscal year, the program was expanded to cover 5 million low-income families. At the program's start in 2008, the Pakistani government allocated Rs. 34 billion ($425 million) for BISP; the allocation doubled to Rs. 70 billion ($875 million) in the following year. By 2016, nearly Rs. 90 billion ($900 million) was distributed to 5.4 million beneficiaries. In the 2025–26 federal budget, the allocation was further increased to Rs. 716 billion, reflecting the government’s expanded commitment to poverty reduction and social protection. The Benazir Income Support Programme is planning to launch a new initiative that encourages human capital development through a conditional cash transfer . The Waseela-e-Taleem initiative will condition cash payments on primary school enrolment for the children of eligible families. In February 2026, a raise in financial aid for qualified women has been announced by the BISP in advance Ramadan. Chairperson Rubina Khalid revealed during a live e-court session at BISP headquarters that the Benazir Khawateen Kafalat Program had boosted the quarterly payment by Rs1,000, bringing the total amount to Rs14,500 per beneficiary. She added that in order to give mothers and children even more assistance, stipends under the Benazir Educational Scholarships and the Benazir Nashonuma Programme have been increased by Rs 500. The Benazir Income Support Programme has been implemented in the provinces of Punjab , Sindh , Baluchistan , and Khyber-Pakhtunkhwa . The program also operates in the federally administered regions of Azad Jammu and Kashmir , and the Islamabad Capital Territory. In its first year of operation, recipients of BISP cash transfers were identified and selected by Parliamentarians through a process of recommendation. Each Parliamentarian received 8,000 forms to distribute throughout his or her constituency. Selected individuals underwent an eligibility verification process through the National Database and Registration Authority. A final list of eligible families was generated and sent to the postal service. Funds were disbursed from the Treasury directly to the postal service and then delivered to the female head of eligible households. In April 2009, the process for identifying and selecting eligible families through Parliamentarian recommendation was ended. The identification process has been reformed and now uses a Poverty Scorecard. Through the Poverty Scorecard, families are identified through a proxy means test. The Poverty Scorecard has been approved by the World Bank and requires families to answer 13 questions regarding assets and expenses in a survey. The poverty survey has been tested in 16 districts and will be distributed nationwide. Internal monitoring systems are being developed t",5000,770
board_of_investment_(pakistan),Board Of Investment (Pakistan),"The Board of Investment (BOI) ( Urdu : ہیئتِ پاکستان برائے سرمایہ کاری ) is the premier investment promotion agency of Pakistan working under the administrative control of the Prime Minister’s Office and is mandated to promote and facilitate both local & foreign investment. The Board of Investment is a member of the World Association of Investment Promotion Agencies (WAIPA). According to the World Bank’s Doing Business Report, 2020, Pakistan is No. 1 in terms of big jump in ranking of ease of doing business index (EoDB) among 11 biggest economies. Pakistan is the top reformer in South Asia and among the top 20 EoDB reformers. The reforms were recognized in the fields of starting a business, trade across borders, getting electricity, dealing with construction permits, registering properties and paying taxes. The next step is to cut out redundant regulations and remove unnecessary permissions/ NOCs and inspections under the BOI's new ""Better Business Regulatory Initiative"". The wide range of professional services provided by Board of Investment includes disseminating information on the opportunities for investment and facilitating companies that are looking for project sites, joint venture partners and other resources. It promotes Pakistan as an investment destination through networking, conferences and events, media relations, Pakistan’s diplomatic missions abroad, and thought leadership. The Board of Investment acts as a focal point of contact for prospective investors, both domestic and foreign to provide them with all necessary information and assistance in coordinating with other Government Departments/Agencies. The Board of Investment also evaluates applications of investors for the Work / Business Visa, Branch / Liaison Office and Airport Entry Passes. Board of Investment's global network will show companies why Pakistan is an ideal strategic choice for growth. By contacting the nearest Pakistani Embassy , High Commission, or Consulate, a company can get the information and assistance they need to make the right decisions. Business leaders from across the globe work with the Board of Investment as "" Honorary Investment Counsellors "". They promote Pakistan internationally and highlight investment opportunities but also offer business experience and knowledge gained across a range of sectors and geographical markets. The Board of Investment has specialist staff located at the head office in Islamabad along with offices in each of Pakistan’s four provinces.",2503,374
capital_development_authority,Capital Development Authority,A Capital Development Authority is a special sort of entity found in various countries that is concerned with the municipal development of the capital city or capital territory of that country. Examples include:,211,33
civil_aviation_authority_(pakistan),Civil Aviation Authority (Pakistan),"Pakistan Civil Aviation Authority ( PCAA ) ( Urdu : مقتدرہ شہری ہوابازی پاکستان ), an autonomous agency under the administrative control of the Secretary to the Government of Pakistan for Aviation and a member of the International Civil Aviation Organization , oversaw and regulated all aspects of civil aviation in Pakistan. Its head office situated at Terminal-1 of Jinnah International Airport in Karachi . The authority was bifurcated to form the Bureau of Air Safety Investigation and Pakistan Airports Authority in 2023. Civil Aviation Authority had the following divisions: PCAA served as the aviation regulator and at the same time the service provider functions of air navigation services and airport services. The core functions of PCAA being 'Regulatory', 'Air Navigation Services' and 'Airport Services'. Pakistan's airspace is divided into two flight information regions (FIRs). Civil Aviation Training Institute (CATI), Hyderabad worked under the Civil Aviation Authority. CATI is accredited by the International Civil Aviation Organization (ICAO) and is member of ICAO TRAINAIR PLUS Programme. The institute was established in 1982 to fulfill training requirement of Pakistan Civil Aviation Authority and that of the fellow countries of the region. The Civil Aviation Training Institute provides training in the disciplines of: Aircraft Accident Investigation Board (AAIB), working under the Aviation Division Government of Pakistan is responsible for investigating civilian aircraft accidents and serious incidents. In this role, the AAIB investigates and reports on aviation accidents and incidents. The investigation board is based in Rawalpindi near the now defunct Benazir Bhutto International Airport (BBIAP) . It has one regional office located in Karachi near Jinnah International Airport (JIAP). The Aircraft Accident Investigation Board held following the air crash investigations on direction of the federal Government of Pakistan. Ghulam Sarwar Khan addressed Pakistan's National Assembly stating 262 pilots in the country ""did not take the exam themselves"" and had paid someone else to sit it on their behalf, according to CNN, and added ""they don't have flying experience"". This accounts for 30% of Pakistani civilian pilots not capable of flying commercial aircraft. The investigation was the preliminary report into the PIA 8303 plane crash that killed 97 people in the southern city of Karachi on 22 May. On 30 June, the European Union Aviation Safety Agency (EASA) revoked PIA's 'third part authorisation', subsequently banning PIA from flying in European airspace for 6 months from the following day, following multiple safety failings.",2670,398
competition_commission_of_pakistan,Competition Commission Of Pakistan,"The Competition Commission of Pakistan (CCP) ( Urdu : کمپیٹیشن کمیشن آف پاکستان ), formerly Monopoly Control Authority , is an independent agency quasi-regulatory, quasi-judicial body of the Government of Pakistan for the enforcement of economic competition laws in Pakistan that helps ensure healthy competition. It was created in 2007 by the President of Pakistan through the promulgation of the Competition Ordinance, 2007 replacing Monopoly Control Authority, later Parliament of Pakistan passed Competition Act, 2010 to give legal cover and powers to the commission. The Commission was established to provide for free competition in all spheres of commercial and economic activity to enhance economic efficiency and to protect consumers from anti competitive behavior. Prior to the Competition Ordinance, 2007, Pakistan had an anti-monopoly law namely ‘Monopolies and Restrictive Trade Practices (Control and Prevention) Ordinance’ (MRTPO) 1970. The Monopoly Control Authority (MCA) was the organization to administer this Law. Pakistan decided to update its monopoly law after becoming a member of the World Trade Organisation in 1995, and thereby becoming increasingly aware that if it wanted to avail of the benefits of trade and globalization, it needed a new competition law and policy framework to improve the competitiveness of its domestic markets. To this end, Pakistan approached the World Bank for technical assistance, and in 2006, a team led by World Bank experts commenced discussions with Pakistani officials, economists and lawyers, to develop the parameters of such a law and policy. In 2007, the World Bank team submitted its report to the Pakistani government and with it, a draft law was prepared by them. The Competition Commission of Pakistan (CCP) was established on 2 October 2007 under the Competition Ordinance, 2007, which was repromulgated in November 2009. The law was later promulgated as Competition Act, 2010. The Competition Act, 2010 is based on international best practices, considers the current economic realities, and corrects the deficiencies of the Monopolies and Restrictive Trade Practices Ordinance (MRTPO) of 1970 related to definitional aspects, coverage, penalties, and other procedural matters. It covers all sectors of the economy, regardless of their public or private ownership. The Competition Act, 2010, prohibits undertakings from abusing a dominant position in the market, participating in anti-competitive agreements, and resorting to deceptive marketing practices that could result in a transaction based on incorrect or inaccurate information. It also reviews mergers between undertakings that could result in significant impediments to effective competition. Through advocacy, the Commission encourages voluntary compliance and promotes a ‘competition culture’ to take root in the economy. Anti-competitive business conduct can have harmful effects on the level of competition in the economy and thus, on consumers. The Competition Commission of Pakistan under Competition Act, 2010 principally deals with The Competition Commission of Pakistan (CCP) has been involved in conducting research and producing publications to advance the understanding and implementation of competition law in the country. The commission conducts comprehensive market studies and investigations to identify anti-competitive practices, including abuse of dominance, cartelization, collusive behavior, barriers to entry , deceptive marketing practices, and other competition issues. Moreover, the commission closely monitors and analyzes the sectorial competition environment across various sectors to ensure fair competition and protect consumer interests. This research serves as a foundation for the commission's policy-making and enforcement decisions. Moreover, the CCP has published a wide array of reports, guidelines, and research papers on competition-related issues. These publications cover topics such as merger control, abuse of dominance, cartels, and anti-competitive practices. The Competition Commission of Pakistan (CCP) is actively engaged in advocating for competition issues in the country. It recognizes the importance of creating awareness and understanding among businesses, policymakers, and the general public about the benefits of competition and the detrimental effects of anti-competitive practices. The commission conducts advocacy campaigns and outreach programs to disseminate information and educate stakeholders on competition law, fair trade practices, and the importance of a competitive market economy. The commission organizes workshops, seminars, and awareness sessions to engage with various sectors and share insights on competition-related matters. Through its advocacy efforts, the commission encourages voluntary compliance with competition laws, promotes fair business practices, and fosters a competitive environment conducive to innovation, efficiency, and consumer welfare. The commission has published various g",5000,699
defence_housing_authority,Defence Housing Authority,"Defence Housing Authority ( DHA ; Urdu : ڈیفنس ہاؤسنگ اتھارٹی ) is a Pakistan Army -administered real-estate developer that governs housing and municipal services for Defence neighbourhoods across Pakistan . The Defence Secretary is its chairman and it is managed by the Pakistan Army, just as other government housing societies are managed by the respective state institutions. Primarily aimed to develop housing for retired military personnel in the 1970s, now most of the properties in its new projects are owned by civilians while a portion of total plots is allotted (not given) to armed forces officers, families of martyrs and other employees. DHA allows the construction of houses and commercial buildings.",714,112
drug_regulatory_authority_of_pakistan,Drug Regulatory Authority Of Pakistan,"The Drug Regulatory Authority of Pakistan ( DRAP ) is a self-governing entity under the Federal Government of Pakistan . It functions under the administrative supervision of the Ministry of National Health Services, Regulations & Coordination . DRAP was formed in accordance with the DRAP Act 2012 and is tasked with ensuring effective coordination and implementation of The Drugs Act, 1976 . DRAP is committed to ensuring that all drugs, medical devices, cosmetics, alternative medicines, and health products meet a certain standard of quality and are safe and effective for use. It is responsible for making sure that therapeutic goods, which are approved and available in the market, comply with the prescribed standards of quality, safety, and efficacy. The regulatory tasks carried out by DRAP encompass registration and marketing authorization, vigilance, market surveillance and control, licensing establishments, regulatory inspection, laboratory testing, clinical trials oversight, pharmacovigilance, and lot release of biologicals. In response to the shortage of life-saving medicines across the country, DRAP has taken several initiatives: DRAP has set the maximum retail prices for 25 life-saving drugs and 25 newly introduced medicines in an effort to make these essential drugs more affordable for the public. A committee was formed to propose strategies to alleviate the scarcity of life-saving medicines and liaise with pharmaceutical manufacturers and importers. In an effort to eradicate black market practices and put an end to hoarding, DRAP introduced a mobile application. This app provides real-time and evidence-based information about drug shortages in the market. There is no restriction on hospitals or individuals on importing vital medicines from India for their own use under the Import Policy Order 2022 after obtaining a No Objection Certificate (NOC) from DRAP. DRAP decided to launch a crackdown against spurious medicines to eradicate the menace of unregistered, spurious and sub-standard medicine. Allegations have been made against Asim Rauf the CEO of DRAP for operating a Benami pharmaceutical company, which is perceived as a clear instance of conflict of interest .",2206,329
economic_coordination_committee,Economic Coordination Committee,"The Economic Coordination Committee ( reporting name: ECC ), ( Urdu : اقتصادی رابطہ کمیٹی ) is a principle federal institution and a consultative forum used by the people-elected Prime Minister of Pakistan as its chairman, for concerning matters of state 's economic security , geoeconomic , political economic and financial endowment issues. Although it is often chaired by the Finance Minister and the senior economic officials as its members on multiple occasions, the key executive authorization on key economic policies are made by the Prime Minister of Pakistan who reserves the right call upon and serves as the chairman of the ECC. Established in 1965 by President Ayub Khan , its primary functions and responsibility is to finalize executive economic decisions to national economy , and to assist Prime Minister and his key staff on issues involving the economic security, threat of war , economic effects of nuclear weapons, and challenges in geoeconomic policies. The ECC served as Prime Minister's principal decision-making and consultative forum for coordinating economic security and geo-economic policies among various government institutions and ministries. The DCC is a counterpart of the national security councils of many other nations. Its national security counterpart is DCC , and counterpart of the Monetary Policy Committees of many other nations. The Economic Coordination Committee (ECC) was formed in 1965 by the government, handing over the chairmanship of the (ECC) to Finance Minister of Pakistan as its central and designated chairman. The ECC was chair by the Finance minister with almost weekly meetings of its members, who are ministers in charge of economic ministries. However, after the 1971 war with India , its chairmanship was handed over to the Prime Minister of Pakistan , and in 1993, the ECC's chairmanship was permanently handed over to the Prime Minister of Pakistan. Along with its counterpart DCC , the ECC more densely emphasized its economic and financial role in country's nuclear command and control since the 1980s. In May 1998, the emergency meetings, along with the DCC, provided a great environment of its performance when Prime minister Nawaz Sharif ordered Pakistan's first public nuclear tests, Chagai-I which was followed by Chagai-II , after the DCC and ECC council conveyed various civil-military sessions with the Prime minister and the military leadership. The Economic Coordination Committee has control for all important economic decisions and finalizes, promulgated the economic policies in the country.",2570,398
